data,treatment,essay,Site,SENSOR_mean_temp,sp,site_sp,site_sp_treat,treat_sp,treat_site,family,individual,CODI INDIVIDU,IND_CODE2,initial weight,final weight,% weight loss,aprox_minute_dead,log_min_death
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRD,PRD1,AE_041,AEPRD041,"0,101","0,085","0,15841584",,
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRD,PRD2,AE_042,AEPRD042,"0,113","0,09","0,20353982",140,"2,14612804"
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRD,PRD3,AE_043,AEPRD043,"0,07","0,062","0,11428571",140,"2,14612804"
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRD,PRD4,AE_044,AEPRD044,"0,082","0,075","0,08536585",,
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRD,PRD5,AE_045,AEPRD045,"0,075","0,069","0,08",120,"2,07918125"
17/06/2018 0:00:00,42,3,AE,"42,0248447",PN,AE_PN,AE_PN_42,42_PN,42_AE,PNE,PNE1,AE_046,AEPNE046,"0,102","0,095","0,06862745",120,"2,07918125"
17/06/2018 0:00:00,42,3,AE,"42,0248447",PN,AE_PN,AE_PN_42,42_PN,42_AE,PNE,PNE2,AE_047,AEPNE047,"0,111","0,1","0,0990991",,
17/06/2018 0:00:00,42,3,AE,"42,0248447",PN,AE_PN,AE_PN_42,42_PN,42_AE,PNE,PNE3,AE_048,AEPNE048,"0,101","0,093","0,07920792",140,"2,14612804"
17/06/2018 0:00:00,42,3,AE,"42,0248447",PN,AE_PN,AE_PN_42,42_PN,42_AE,PNE,PNE4,AE_049,AEPNE049,"0,108","0,098","0,09259259",,
17/06/2018 0:00:00,42,3,AE,"42,0248447",PN,AE_PN,AE_PN_42,42_PN,42_AE,PNE,PNE5,AE_050,AEPNE050,"0,107","0,093","0,13084112",60,"1,77815125"
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRE,PRE1,AE_051,AEPRE051,"0,1","0,093","0,07",160,"2,20411998"
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRE,PRE2,AE_052,AEPRE052,"0,127","0,124","0,02362205",,
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRE,PRE3,AE_053,AEPRE053,"0,103","0,098","0,04854369",140,"2,14612804"
17/06/2018 0:00:00,42,3,AE,"42,0248447",PR,AE_PR,AE_PR_42,42_PR,42_AE,PRE,PRE4,AE_054,AEPRE054,"0,148","0,135","0,08783784",,
