site,IDesp,jday,Ab_index
AE,piepna,61,1.3966480446927374
AE,piepna,68,3.4916201117318435
AE,piepna,75,6.284916201117319
AE,piepna,81,5.702979515828678
AE,piepna,88,5.121042830540037
AE,piepna,95,2.676908752327747
AE,piepna,108,0.23277467411545624
AE,piepna,112,0
AE,piepna,116,0.11638733705772812
AE,piepna,124,0.23277467411545624
AE,piepna,132,2.793296089385475
AE,piepna,137,9.776536312849162
AE,piepna,146,11.871508379888267
AE,piepna,157,5.58659217877095
AE,piepna,164,1.86219739292365
AE,piepna,169,2.3277467411545625
AE,piepna,173,4.888268156424581
AE,piepna,185,1.86219739292365
AE,piepna,191,3.2588454376163876
AE,piepna,193,2.211359404096834
AE,piepna,201,1.1638733705772812
AE,piepna,208,0.23277467411545624
AE,piepna,215,0
AE,piepna,224,0.23277467411545624
AE,piepna,229,0.4655493482309125
AE,piepna,236,0.23277467411545624
AE,piepna,246,0
AE,piepna,249,0.23277467411545624
AE,piepna,256,0.4655493482309125
AE,piepna,263,0
AE,piepra,61,0.6983240223463687
AE,piepra,68,0.6983240223463687
AE,piepra,75,3.7243947858473
AE,piepra,81,3.7243947858473
AE,piepra,88,3.7243947858473
AE,piepra,95,2.211359404096834
AE,piepra,108,0.6983240223463687
AE,piepra,112,0.931098696461825
AE,piepra,116,1.3966480446927374
AE,piepra,124,1.86219739292365
AE,piepra,132,3.9571694599627563
AE,piepra,137,8.379888268156424
AE,piepra,146,9.078212290502794
AE,piepra,157,13.500931098696462
AE,piepra,164,10.47486033519553
AE,piepra,169,7.4487895716946
AE,piepra,173,8.379888268156424
AE,piepra,185,3.9571694599627563
AE,piepra,191,3.2588454376163876
AE,piepra,193,2.676908752327747
AE,piepra,201,2.094972067039106
AE,piepra,208,0.931098696461825
AE,piepra,215,0.931098696461825
AE,piepra,224,2.094972067039106
AE,piepra,229,0.931098696461825
AE,piepra,236,1.3966480446927374
AE,piepra,246,1.6294227188081938
AE,piepra,249,2.4441340782122905
AE,piepra,256,3.2588454376163876
AE,piepra,263,1.3966480446927374
CJ,piepna,60,0.5980861244019139
CJ,piepna,68,0
CJ,piepna,74,2.9904306220095696
CJ,piepna,81,2.3923444976076556
CJ,piepna,93,3.5885167464114835
CJ,piepna,96,1.7942583732057418
CJ,piepna,103,1.1961722488038278
CJ,piepna,114,1.7942583732057418
CJ,piepna,116,1.4952153110047848
CJ,piepna,128,1.1961722488038278
CJ,piepna,136,1.1961722488038278
CJ,piepna,143,2.3923444976076556
CJ,piepna,146,4.784688995215311
CJ,piepna,153,9.569377990430622
CJ,piepna,163,2.3923444976076556
CJ,piepna,170,4.186602870813397
CJ,piepna,173,6.578947368421052
CJ,piepna,184,5.382775119617225
CJ,piepna,192,1.1961722488038278
CJ,piepna,198,4.784688995215311
CJ,piepna,206,4.186602870813397
CJ,piepna,212,1.7942583732057418
CJ,piepna,219,3.5885167464114835
CJ,piepna,221,2.9904306220095696
CJ,piepna,228,1.7942583732057418
CJ,piepna,241,0.5980861244019139
CJ,piepna,247,1.1961722488038278
CJ,piepna,255,0.5980861244019139
CJ,piepna,262,1.7942583732057418
CJ,piepna,269,2.3923444976076556
CJ,piepra,60,0
CJ,piepra,68,0.5980861244019139
CJ,piepra,74,0.5980861244019139
CJ,piepra,81,0
CJ,piepra,93,0
CJ,piepra,96,0
CJ,piepra,103,0
CJ,piepra,114,0.5980861244019139
CJ,piepra,116,1.1961722488038278
CJ,piepra,128,1.7942583732057418
CJ,piepra,136,1.7942583732057418
CJ,piepra,143,5.382775119617225
CJ,piepra,146,4.784688995215311
CJ,piepra,153,5.382775119617225
CJ,piepra,163,11.961722488038278
CJ,piepra,170,4.784688995215311
CJ,piepra,173,7.177033492822967
CJ,piepra,184,4.784688995215311
CJ,piepra,192,4.784688995215311
CJ,piepra,198,1.7942583732057418
CJ,piepra,206,4.186602870813397
CJ,piepra,212,4.186602870813397
CJ,piepra,219,5.382775119617225
CJ,piepra,221,4.784688995215311
CJ,piepra,228,2.6913875598086126
CJ,piepra,241,0.5980861244019139
CJ,piepra,247,0.5980861244019139
CJ,piepra,255,0.5980861244019139
CJ,piepra,262,0
CJ,piepra,269,0
