species,microhabitat,n_fruits
Alliaria petiolata,SC,18
Alliaria petiolata,SC,20
Alliaria petiolata,SC,17
Alliaria petiolata,C,6
Alliaria petiolata,C,21
Alliaria petiolata,C,28
Alliaria petiolata,C,19
Alliaria petiolata,SO,11
Alliaria petiolata,SO,34
Alliaria petiolata,SO,NA
Alliaria petiolata,SO,52
Alliaria petiolata,SO,19
Alliaria petiolata,SO,37
Alliaria petiolata,SO,40
Alliaria petiolata,SO,24
Alliaria petiolata,O,8
Alliaria petiolata,O,3
Alliaria petiolata,O,5
Alliaria petiolata,O,6
Alliaria petiolata,O,4
Alliaria petiolata,O,4
Alliaria petiolata,O,3
Alliaria petiolata,O,3
Alliaria petiolata,O,6
Alliaria petiolata,O,3
Alliaria petiolata,O,3
Alliaria petiolata,O,11
Alliaria petiolata,SO,15
Alliaria petiolata,C,32
Alliaria petiolata,C,7
Alliaria petiolata,C,11
Alliaria petiolata,C,15
Alliaria petiolata,C,14
Alliaria petiolata,SC,15
Alliaria petiolata,SC,33
Alliaria petiolata,O,5
Alliaria petiolata,O,6
Alliaria petiolata,O,9
Alliaria petiolata,O,6
Alliaria petiolata,O,5
Alliaria petiolata,O,5
Alliaria petiolata,O,8
Alliaria petiolata,O,9
Alliaria petiolata,O,3
Alliaria petiolata,O,5
Alliaria petiolata,SC,33
Alliaria petiolata,SC,14
Alliaria petiolata,SC,21
Alliaria petiolata,SC,NA
Alliaria petiolata,SC,18
Alliaria petiolata,SC,14
Alliaria petiolata,SC,30
Alliaria petiolata,SC,26
Alliaria petiolata,SC,16
Lepidium draba,SO,62
Lepidium draba,SO,35
Lepidium draba,SO,96
Lepidium draba,SO,83
Lepidium draba,SO,67
Lepidium draba,SO,111
Lepidium draba,SO,68
Lepidium draba,O,170
Lepidium draba,O,310
Lepidium draba,O,255
Lepidium draba,O,130
Lepidium draba,O,180
Lepidium draba,O,175
Lepidium draba,O,510
Lepidium draba,O,72
Lepidium draba,O,135
Lepidium draba,O,165
Lepidium draba,O,133
Lepidium draba,O,159
Lepidium draba,O,99
Lepidium draba,O,145
Lepidium draba,O,132
Lepidium draba,C,0
Lepidium draba,C,0
Lepidium draba,C,0
Lepidium draba,C,0
Lepidium draba,C,0
Lepidium draba,C,0
Lepidium draba,C,0
Lepidium draba,SC,0
Lepidium draba,SC,0
Lepidium draba,SC,0
Lepidium draba,SC,0
Lepidium draba,SC,0
Lepidium draba,SC,0
Lepidium draba,SC,0
