site,jday,month,month_name,season_name,species,microhabitat,ind,phenology,cycle_phase,leaf_type,leaf_code,leaf_state,obv_temp,rev_temp,cond_obv_temp,rad_obv_temp,wind_obv_temp,METCAT_TM,METCAT_TX,SENS_TM,SENS_TX,SENS_TM2H,length,width,chl,fresh_weight,dry_weight,water_content,leaf_dens
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_3,veg,rep,b,1,green,NA,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,11.5,5.5,29.0333333333333,0.3989,0.0439,8.086560364464692,3.817391304347826
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_3,veg,rep,b,2,green,NA,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,11.5,6,27.2333333333333,0.4853,0.0503,8.648111332007952,4.373913043478261
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_3,veg,rep,b,3,green,NA,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,7.5,3.5,31.1,0.2072,0.0268,6.731343283582089,3.5733333333333333
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_4,veg,rep,b,1,green,NA,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,19,9,34,1.2224,0.1335,8.156554307116105,7.026315789473684
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_4,veg,rep,b,2,green,NA,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,13.5,6,36.8333333333333,0.5094,0.0685,6.436496350364963,5.074074074074074
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_4,veg,rep,b,3,green,NA,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,7.5,3.5,32.2,0.2815,0.0411,5.849148418491484,5.4799999999999995
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_5,rep,rep,b,1,green,14.3,13.9,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_5,rep,rep,m,2,green,14.8,14.4,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_5,rep,rep,a,3,green,16,15,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_6,rep,rep,b,1,green,14.4,14.1,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_6,rep,rep,m,2,green,15.9,15.2,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_6,rep,rep,a,3,green,15.9,15.5,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_7,rep,rep,b,1,green,14.2,14,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,16,7.5,25.2,0.6874,0.0768,7.950520833333335,4.8
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_7,rep,rep,m,2,green,13.8,13.5,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,13,8.5,26.3333333333333,0.8248,0.1013,7.142152023692004,7.792307692307692
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_7,rep,rep,a,3,green,14,14,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,4.5,3.2,22.0666666666667,0.1264,0.0213,4.934272300469484,4.733333333333333
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_8,rep,rep,b,1,green,13.7,13.5,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,10.5,5.5,19.8666666666667,0.2779,0.0264,9.526515151515152,2.5142857142857142
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_8,rep,rep,m,2,green,13.4,13.4,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,8.2,5.7,21.2666666666667,0.2234,0.0257,7.69260700389105,3.1341463414634148
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_8,rep,rep,a,3,green,13.4,13.4,"NA_NA",NA,NA,9.3,18.1,NA,NA,NA,3.8,3.5,24,0.0804,0.0084,8.571428571428571,2.210526315789474
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_9,rep,rep,b,1,green,19.7,19.7,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_9,rep,rep,m,2,green,20.1,19.9,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_9,rep,rep,a,3,green,20.7,20.9,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_10,rep,rep,b,1,green,18,19.7,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_10,rep,rep,m,2,green,18.9,19.3,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_10,rep,rep,a,3,green,20.5,20.3,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_11,rep,rep,b,1,green,20.3,19.9,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,17,10,25.8,1.304,0.1484,7.787061994609164,8.729411764705883
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_11,rep,rep,m,2,green,20.3,20.1,"NA_NA",NA,NA,13.7,23.5,NA,NA,NA,12,10,27.1333333333333,0.9676,0.1176,7.227891156462585,9.799999999999999
