site,jday,month,month_name,season_name,species,microhabitat,ind,soil_temp_couple,soil_temp_hour,air_temp,air_hour,rad_air,wind_air,METCAT_TM,METCAT_TX,SENS_TM,SENS_TX,SENS_TM2H,soil_hum_org,soil_hum_min,soil_hum_volts,phenology,cycle_phase,stem_length,resp_height,resp_leaves
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_1,8.8,13,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,62.7333333333333,54.1,790.666666666667,NA,NA,NA,NA,NA
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_2,8.6,13,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,52.9333333333333,45.0333333333333,653.333333333333,NA,NA,NA,NA,NA
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_3,8.5,13,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,44.4,37.2666666666667,527.666666666667,veg,rep,3.5,NA,NA
CJ,70,3,mar,spring,Alliaria petiolata,SC,CJ_SC_4,8.8,13,NA,NA,NA,NA,12.5,21.4,NA,NA,NA,55.4333333333333,41.1333333333333,586.333333333333,veg,rep,6,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_5,8.5,16,16.1,NA,NA,NA,9.3,18.1,NA,NA,NA,62.7666666666667,74.1333333333333,938,NA,NA,NA,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_6,8.4,16,14.7,NA,NA,NA,9.3,18.1,NA,NA,NA,48.9333333333333,34.6,587.333333333333,NA,NA,NA,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_7,8.4,16,15.5,NA,NA,NA,9.3,18.1,NA,NA,NA,62.2,53.8666666666667,776.666666666667,rep,rep,9.5,NA,NA
CJ,85,3,mar,spring,Alliaria petiolata,SC,CJ_SC_8,8,16,14.9,NA,NA,NA,9.3,18.1,NA,NA,NA,45.8,37.7333333333333,530.333333333333,rep,rep,5.5,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_9,13.7,14,21.2,NA,NA,NA,13.7,23.5,NA,NA,NA,61.9666666666667,53.2666666666667,777.333333333333,NA,NA,NA,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_10,16.5,14,20.8,NA,NA,NA,13.7,23.5,NA,NA,NA,47.1333333333333,39.6333333333333,565.333333333333,NA,NA,NA,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_11,14.1,14,20.9,NA,NA,NA,13.7,23.5,NA,NA,NA,39.2666666666667,32.3666666666667,448,rep,rep,40,NA,NA
CJ,99,4,apr,spring,Alliaria petiolata,SC,CJ_SC_12,16.7,14,21.8,NA,NA,NA,13.7,23.5,NA,NA,NA,59.9666666666667,51.4,749.666666666667,rep,rep,24,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_13,10.7,14,20.4,NA,NA,NA,13.9,22.9,NA,NA,NA,60.6333333333333,52.4666666666667,772.666666666667,NA,NA,NA,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_14,10.6,14,20.6,NA,NA,NA,13.9,22.9,NA,NA,NA,41.8666666666667,34.5333333333333,485,rep,rep,88,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_15,10.7,14,20.2,NA,NA,NA,13.9,22.9,NA,NA,NA,53.8,45.5333333333333,665,rep,rep,90,NA,NA
CJ,113,4,apr,spring,Alliaria petiolata,SC,CJ_SC_16,11.1,14,20.5,NA,NA,NA,13.9,22.9,NA,NA,NA,55,46.8333333333333,679.666666666667,rep,rep,49.6,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_17,11.7,14,19.4,NA,NA,NA,14.4,21.4,NA,NA,NA,61.6333333333333,52.6666666666667,769.666666666667,rep,rep,101,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_18,11.7,14,20.4,NA,NA,NA,14.4,21.4,NA,NA,NA,48.6333333333333,41.0666666666667,588.333333333333,NA,NA,NA,NA,NA
CJ,127,5,may,spring,Alliaria petiolata,SC,CJ_SC_19,11.6,14,18.8,NA,NA,NA,14.4,21.4,NA,NA,NA,61.5333333333333,53,780,rep,rep,76,NA,NA
