survey,site,date,year,month,jday,jday_cat,day_period,microhabitat,species,fem_code,T_upp,T_und
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,34.849999999999994,33.849999999999994
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,36.4,NA
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,35.05,NA
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,38.63333333333333,37.266666666666666
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,38.63333333333333,37.56666666666667
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,32.5,31.833333333333332
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,36.13333333333333,36.166666666666664
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,37.93333333333334,37.86666666666667
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,38.6,37.2
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,38.65,38.65
20,AE,2017-07-12,2017,7,193,193,3,O,PR,155,36.85,37.53333333333333
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,36.1666667,37.2333333
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,34.3666667,38.5333333
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,38.3333333,39.2666667
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,39.6,40.6
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,41.3666667,41.8666667
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,40.3333333,41.3666667
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,37,37
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,34.1,35.0666667
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,37.3333333,40.075
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,39.9333333,39.9
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,35,34.8
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,36.9333333,37
7,AE,2017-07-11,2017,7,192,192,4,O,PR,162,35.4666667,35.4666667
20,AE,2017-07-12,2017,7,193,193,3,O,PR,180,39.9,39.6666667
20,AE,2017-07-12,2017,7,193,193,3,O,PR,180,38.9333333,37.8
20,AE,2017-07-12,2017,7,193,193,3,O,PR,180,36.6333333,35.1
20,AE,2017-07-12,2017,7,193,193,3,O,PR,180,37.9333333,36.6333333
19,AE,2017-07-12,2017,7,193,193,2,O,PR,214,39.6333333,40.2666667
19,AE,2017-07-12,2017,7,193,193,2,O,PR,214,39.6,39.8
19,AE,2017-07-12,2017,7,193,193,2,O,PR,214,39.3,39.6
19,AE,2017-07-12,2017,7,193,193,2,O,PR,214,37.9,37.7
11,AE,2017-07-11,2017,7,192,192,4,OC,PN,227,25.4,25.3
2,AE,2017-06-13,2017,6,164,164,3,OC,PN,627,27.099999999999998,27.366666666666664
2,AE,2017-06-13,2017,6,164,164,3,OC,PN,628,26.46666666666667,26.3
1,AE,2017-06-08,2017,6,159,159,3,C,PR,629,22.233333333333334,NA
30,CJ,2017-07-06,2017,7,187,187,3,C,PN,501,29.933333333333334,29.866666666666664
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,496,38.9,38.9
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,496,38.9,38.9
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,496,28.3,28.3
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,496,28.45,28.45
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,496,28,28
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,496,29.6,29.6
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,496,29.6,29.6
36,CJ,2018-09-23,2018,9,266,266,4,OC,PN,496,29.6,29.6
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,500,33.1,33.1
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,500,32.7,32.7
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,623,32.9,32.9
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,623,32.8,32.8
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,624,32.5,32.5
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,624,32.5,32.5
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,625,32.8,32.8
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,625,32.6,32.6
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,626,32.9,32.9
32,CJ,2018-07-18,2018,7,199,199,3,O,PR,626,32.7,32.7
44,CJ,2018-09-27,2018,9,270,270,4,OC,PN,546,NA,23.75
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,563,29,27.9
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,563,26.4,26.3
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,563,29.3,26.4
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,574,31,30.5
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,576,29.2,28.7
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,576,29.2,28.7
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,576,29.2,28.7
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,576,29.2,28.7
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,576,29.2,28.7
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,576,26.6,26.2
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,576,26.6,26.2
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,577,28.2,28.1
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,590,28.1,29.1
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,590,28.1,29.1
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,590,28.1,29.1
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,590,28.1,29.1
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,590,28.1,29.1
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,590,28.1,29.1
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,590,28.1,29.1
52,CJ,2018-09-28,2018,9,271,271,4,OC,PN,590,28.1,29.1
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,597,23.5,23.2
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,597,23.3,23.7
51,CJ,2018-09-28,2018,9,271,271,3,OC,PN,597,24.25,23.7
49,CJ,2018-09-28,2018,9,271,271,4,O,PN,612,26.2,26.5
